cap1,cap2,cap3,cap4,X,Y
0.1882,0.90994,0.93664,0.94166,1.3746,0.53476
0.24943,0.91704,0.93792,0.93976,1.3225,0.55887
0.30388,0.92174,0.938,0.93889,1.2553,0.57923
0.34647,0.92575,0.93772,0.93906,1.1847,0.58228
0.37792,0.93028,0.93749,0.93997,1.1149,0.56849
0.40106,0.93743,0.93791,0.94107,1.0664,0.55021
0.4201,0.94671,0.93772,0.94177,1.0041,0.52891
0.43627,0.95688,0.93775,0.94207,0.95378,0.52566
0.44934,0.96304,0.93822,0.94081,0.878,0.55954
0.45913,0.96344,0.93889,0.93885,0.81527,0.58156
0.46576,0.95646,0.94005,0.93656,0.76977,0.58771
0.46963,0.94336,0.94092,0.93472,0.68964,0.5937
0.47189,0.9282,0.94122,0.93413,0.62215,0.59944
0.4732,0.91423,0.94081,0.93478,0.55806,0.60508
0.47403,0.90443,0.9399,0.93705,0.53773,0.62052
0.47472,0.89944,0.93879,0.93905,0.52745,0.66887
0.47545,0.89904,0.9377,0.93729,0.53847,0.75918
0.47632,0.90203,0.93712,0.92325,0.5546,0.81784
0.47732,0.90653,0.93717,0.88948,0.56579,0.8866
0.47844,0.91227,0.93786,0.8326,0.554,0.95031
0.47935,0.91861,0.93867,0.75253,0.51911,1.0497
0.48013,0.92542,0.93839,0.66102,0.49216,1.1469
0.48058,0.93272,0.93681,0.56939,0.4838,1.2123
0.48091,0.939,0.93444,0.49411,0.49752,1.3036
0.48124,0.94357,0.93149,0.44535,0.52058,1.3805
0.48164,0.94628,0.92865,0.42763,0.5588,1.4959
0.48207,0.94634,0.92669,0.44523,0.57588,1.5811
0.48254,0.94402,0.92574,0.49228,0.56789,1.669
0.48303,0.94002,0.92546,0.562,0.54204,1.7843
0.48356,0.93543,0.92505,0.6463,0.52017,1.8669
0.4841,0.93146,0.92355,0.73166,0.52417,1.9085
0.48455,0.92876,0.92023,0.80765,0.54838,1.9872
0.48411,0.9267,0.91425,0.86445,0.56633,2.0512
0.48349,0.92587,0.90569,0.9015,0.60216,2.122
0.48277,0.92602,0.89477,0.92172,0.6431,2.1875
0.48239,0.92579,0.88118,0.92977,0.65854,2.2317
